"Keyword","Total_Frequency"
"porifera",553
"hexactinellida",462
"evolution",98
"demospongiae",79
"phylogeny",75
"deep-sea",69
"metazoa",69
"diversity",63
"spicules",62
"taxonomy",62
"biodiversity",55
"marine porifera",53
"sea",44
"ocean",43
"biosilica",41
"british-columbia",39
"ecology",35
"expression",35
"origin",35
"protein",35
"glass",34
"pheronema-carpenteri",32
"fau",30
"silica",30
"silicatein",30
"new species",29
"reefs",29
"growth",28
"siliceous spicules",28
"water",28
"genus",27
"patterns",27
"atlantic",26
"ordovician",26
"classification",25
"communities",25
"antarctica",24
"weddell sea",23
"assemblages",22
"cambrian",22
"community structure",22
"shelf",22
"south chi",22
"biomineralization",21
"marine",21
"reef",20
"chemistry",19
"chi",19
"deep",19
"ecosystem",19
"rhabdocalyptus-dawsoni lambe",19
"seamount",19
"shale",19
"skeleton",19
"suberites-domuncula",19
"systematics",19
"grounds",18
"molecular phylogeny",18
"pacific",18
"basin",17
"biogenic silica",17
"biogeography",17
"calcareous porifera",17
"demosponge suberites-domuncula",17
"demosponges",17
"habitat",17
"identification",17
"paleoecology",17
"calcarea",16
"cold-water corals",16
"coral",16
"demosponge",16
"fossil",16
"lyssacinosida",16
"sediments",16
"siliceous porifera",16
"house range",15
"insights",15
"middle",15
"mountains",15
"poecilosclerida",15
"rossellidae",15
"slope",15
"spicule",15
"symbiosis",15
"anhui",14
"bacteria",14
"associations",13
"carbon",13
"cathepsin",13
"conservation",13
"deep-sea porifera",13
"eocene",13
"fresh-water porifera",13
"geodia-cydonium",13
"lagerstatte",13
"megafau",13
"biostratigraphy",12
"community",12
"corals",12
"margin",12
"model",12
"north-atlantic",12
"porifera hexactinellida",12
"triassic",12
"vulnerable marine paleoecology",12
"benthic",11
"biology",11
"cada",11
"continental-shelf",11
"crustacea",11
"d",11
"giant spicules",11
"morphology",11
"record",11
"revision",11
"sequences",11
"species composition",11
"suberites domuncula",11
"behavior",10
"benthos",10
"bornholm",10
"boundary",10
"chitin",10
"facies",10
"hexactinellida reefs",10
"hexactinosida",10
"impact",10
"invertebrates",10
"jurassic",10
"northeast atlantic",10
"porifera spicules",10
"reticulosa",10
"sequence",10
"temperature",10
"bio-silica",9
"biosilicification",9
"biota",9
"deposition",9
"diatoms",9
"drum mountains",9
"features",9
"fisheries",9
"formation",9
"fossils",9
"genes",9
"genome",9
"habitats",9
"history",9
"invertebrate",9
"ne atlantic",9
"species",9
"stenopodidea",9
"stratigraphy",9
"ultrastructure",9
"amorphous silica",8
"aphrocallistes vastus",8
"architecture",8
"bathyal",8
"bone",8
"climate",8
"cnidaria",8
"collagen",8
"distribution",8
"disturbance",8
"echinodermata",8
"euplectellidae",8
"fibers",8
"gene",8
"hexasterophora",8
"impacts",8
"iran",8
"lophelia-pertusa",8
"matrix",8
"molecular",8
"new genus",8
"rhabdocalyptus-dawsoni",8
"silicification",8
"strait",8
"system",8
"upper cretaceous",8
"aggregations",7
"alignment",7
"assemblage",7
"atlantic-ocean",7
"australia",7
"british columbia",7
"caribbean porifera",7
"circulation",7
"cladorhizidae",7
"conduction",7
"continental-slope",7
"coral lophelia-pertusa",7
"decapoda",7
"deep-sea mining",7
"design",7
"dymics",7
"euplectella",7
"filaments",7
"foraminifera",7
"geochemistry",7
"georgia",7
"halichondria-panicea",7
"island",7
"light",7
"marine protected area",7
"miocene",7
"mitochondrial genome",7
"northwest atlantic",7
"porifera ground",7
"porifera grounds",7
"porifera porifera",7
"porifera reefs",7
"seamounts",7
"southwestern atlantic",7
"spiculogenesis",7
"structure",7
"taphonomy",7
"trawling",7
"yband formation",7
"anthozoa",6
"area",6
"astrophorida",6
"axial filament",6
"bioactive glass",6
"bioactivity",6
"biofabrication",6
"bioherms",6
"biological silica",6
"biomaterials",6
"biosilica-glass",6
"cadian continental-shelf",6
"carbote",6
"carbote ramp",6
"cells",6
"cloning",6
"deep-water",6
"deposits",6
"diagenesis",6
"eastern",6
"ediacaran",6
"epibenthic megafau",6
"euretidae",6
"evolutiory history",6
"exceptiol preservation",6
"extinction",6
"family",6
"germany",6
"gulf",6
"habitat heterogeneity",6
"hadromerida",6
"hetang formation",6
"homoscleromorpha",6
"in-situ",6
"metabolism",6
"microfossils",6
"mid-atlantic ridge",6
"mlcs",6
"mlown",6
"molecular evolution",6
"mud-mounds",6
"pacific ocean",6
"performance",6
"phytoplankton",6
"polychaeta",6
"recruitment",6
"regeneration",6
"reproduction",6
"seabight",6
"sedimentation",6
"silicon",6
"sirius passet biota",6
"size",6
"skeletons",6
"south chi sea",6
"species distribution modelling",6
"spongillidae",6
"transport",6
"tural-products",6
"utah",6
"vazella pourtalesii",6
